P:(1/2,v,1/2)|P₁P₃(2)⊕P₂P₄(2)|P₁P₃(2)⊕P₂P₄(2)|P₁P₃(2)⊕P₂P₄(2)|P₁P₃(2)⊕P₂P₄(2)|P₁P₃(2)⊕P₂P₄(2)|P₁P₃(2)⊕P₂P₄(2)|P₁P₃(2)⊕P₂P₄(2)|P₁P₃(2)⊕P₂P₄(2)|2P₅ˢP₅ˢ(4)|2P₅ˢP₅ˢ(4)|2P₅ˢP₅ˢ(4)|2P₅ˢP₅ˢ(4)|2P₅ˢP₅ˢ(4)|2P₅ˢP₅ˢ(4)
Q:(1/2,1/2,w)|2Q₁(2)|2Q₁(2)|2Q₁(2)|2Q₁(2)|2Q₁(2)|2Q₁(2)|2Q₁(2)|2Q₁(2)|2Q₂ˢQ₅ˢ(2)⊕2Q₃ˢQ₄ˢ(2)|2Q₂ˢQ₅ˢ(2)⊕2Q₃ˢQ₄ˢ(2)|2Q₂ˢQ₅ˢ(2)⊕2Q₃ˢQ₄ˢ(2)|2Q₂ˢQ₅ˢ(2)⊕2Q₃ˢQ₄ˢ(2)|2Q₂ˢQ₅ˢ(2)⊕2Q₃ˢQ₄ˢ(2)|2Q₂ˢQ₅ˢ(2)⊕2Q₃ˢQ₄ˢ(2)
Σ:(u,0,0)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)|2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₄(1)|2Σ₂(1)⊕2Σ₃(1)|4Σ₅ˢ(2)|4Σ₅ˢ(2)|4Σ₅ˢ(2)|4Σ₅ˢ(2)|4Σ₅ˢ(2)|4Σ₅ˢ(2)
K:(0,v,w)|2K₁(1)⊕2K₂(1)|2K₁(1)⊕2K₂(1)|2K₁(1)⊕2K₂(1)|2K₁(1)⊕2K₂(1)|2K₁(1)⊕2K₂(1)|2K₁(1)⊕2K₂(1)|2K₁(1)⊕2K₂(1)|2K₁(1)⊕2K₂(1)|4K₃ˢK₄ˢ(2)|4K₃ˢK₄ˢ(2)|4K₃ˢK₄ˢ(2)|4K₃ˢK₄ˢ(2)|4K₃ˢK₄ˢ(2)|4K₃ˢK₄ˢ(2)
L:(1/2,v,w)|2L₁(1)⊕2L₂(1)|2L₁(1)⊕2L₂(1)|2L₁(1)⊕2L₂(1)|2L₁(1)⊕2L₂(1)|2L₁(1)⊕2L₂(1)|2L₁(1)⊕2L₂(1)|2L₁(1)⊕2L₂(1)|2L₁(1)⊕2L₂(1)|4L₃ˢL₄ˢ(2)|4L₃ˢL₄ˢ(2)|4L₃ˢL₄ˢ(2)|4L₃ˢL₄ˢ(2)|4L₃ˢL₄ˢ(2)|4L₃ˢL₄ˢ(2)
M:(u,0,w)|2M₁(1)⊕2M₂(1)|2M₁(1)⊕2M₂(1)|2M₁(1)⊕2M₂(1)|2M₁(1)⊕2M₂(1)|2M₁(1)⊕2M₂(1)|2M₁(1)⊕2M₂(1)|2M₁(1)⊕2M₂(1)|2M₁(1)⊕2M₂(1)|4M₃ˢM₄ˢ(2)|4M₃ˢM₄ˢ(2)|4M₃ˢM₄ˢ(2)|4M₃ˢM₄ˢ(2)|4M₃ˢM₄ˢ(2)|4M₃ˢM₄ˢ(2)
N:(u,1/2,w)|2N₁N₂(2)|2N₁N₂(2)|2N₁N₂(2)|2N₁N₂(2)|2N₁N₂(2)|2N₁N₂(2)|2N₁N₂(2)|2N₁N₂(2)|2N₃ˢN₃ˢ(2)⊕2N₄ˢN₄ˢ(2)|2N₃ˢN₃ˢ(2)⊕2N₄ˢN₄ˢ(2)|2N₃ˢN₃ˢ(2)⊕2N₄ˢN₄ˢ(2)|2N₃ˢN₃ˢ(2)⊕2N₄ˢN₄ˢ(2)|2N₃ˢN₃ˢ(2)⊕2N₄ˢN₄ˢ(2)|2N₃ˢN₃ˢ(2)⊕2N₄ˢN₄ˢ(2)
V:(u,v,0)|2V₁(1)⊕2V₂(1)|2V₁(1)⊕2V₂(1)|2V₁(1)⊕2V₂(1)|2V₁(1)⊕2V₂(1)|2V₁(1)⊕2V₂(1)|2V₁(1)⊕2V₂(1)|4V₁(1)|4V₂(1)|4V₃ˢV₄ˢ(2)|4V₃ˢV₄ˢ(2)|4V₃ˢV₄ˢ(2)|4V₃ˢV₄ˢ(2)|4V₃ˢV₄ˢ(2)|4V₃ˢV₄ˢ(2)
W:(u,v,1/2)|2W₁W₂(2)|2W₁W₂(2)|2W₁W₂(2)|2W₁W₂(2)|2W₁W₂(2)|2W₁W₂(2)|2W₁W₂(2)|2W₁W₂(2)|2W₃ˢW₃ˢ(2)⊕2W₄ˢW₄ˢ(2)|2W₃ˢW₃ˢ(2)⊕2W₄ˢW₄ˢ(2)|2W₃ˢW₃ˢ(2)⊕2W₄ˢW₄ˢ(2)|2W₃ˢW₃ˢ(2)⊕2W₄ˢW₄ˢ(2)|2W₃ˢW₃ˢ(2)⊕2W₄ˢW₄ˢ(2)|2W₃ˢW₃ˢ(2)⊕2W₄ˢW₄ˢ(2)
Ω:(u,v,w)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₁(1)|4Ω₂ˢΩ₂ˢ(2)|4Ω₂ˢΩ₂ˢ(2)|4Ω₂ˢΩ₂ˢ(2)|4Ω₂ˢΩ₂ˢ(2)|4Ω₂ˢΩ₂ˢ(2)|4Ω₂ˢΩ₂ˢ(2)
